player_id,player_name,team,height,weight,seasons,points,games,games_started,minutes_played,field_goals_made,3_pntrs_made,field_goals_pct_made,3_pntrs_pct_made,ft_pct,field_goals_assisted,3_pntrs_assists,rebounds,assists_to_turnovers,offensive_rebounds,defensive_rebounds,steals,blocks,turnovers,personal_fouls,start_year,country,19_20_salary,20_21_salary,avg_pnts_per_game,pct_of_games_started,heights_inches,draft_1st_pick,draft_2nd_pick,draft_undrafted,draft_number_group,draft_nmbr_grp_rank
1626147,Justin Anderson,BKN,6-6,230.0,4,1157,219,23,2874.0,409,138,0.41777299999999995,0.3,0.776061,979,460,556,143,136,420,97,69,129,258,2015,USA,98143,0,5.28310502283105,0.1050228310502283,78,1,0,0,21-30,3
201583,Ryan Anderson,HOU,6-9,240.0,11,8001,649,289,16768.0,2755,1325,0.421705,0.37954699999999997,0.8535870000000001,6533,3491,3413,586,1247,2166,332,217,606,1263,2008,USA,5714583,5214583,12.328197226502311,0.4453004622496148,81,1,0,0,21-30,3
1627733,Dragan Bender,MIL,7-1,249.0,3,933,178,64,3560.0,342,172,0.39629200000000003,0.322701,0.647058,863,533,667,218,97,570,50,102,186,346,2016,Croatia,1678854,0,5.241573033707865,0.3595505617977528,85,1,0,0,1-10,1
1629151,Ryan Broekhoff,DAL,6-6,215.0,1,238,59,1,634.0,79,58,0.42702700000000005,0.402777,0.814814,185,144,106,33,13,93,11,8,22,50,2018,Australia,1416852,0,4.033898305084746,0.01694915254237288,78,0,0,1,Undrafted,8
203504,Trey Burke,PHI,6-0,185.0,6,4071,386,128,8857.0,1577,464,0.40961000000000003,0.342688,0.797535,3850,1354,776,1354,149,627,217,44,487,526,2013,USA,2028594,0,10.546632124352332,0.3316062176165803,72,1,0,0,1-10,1
1629076,Tyler Cook,CLE,6-8,255.0,0,19,11,0,35.0,7,0,0.7,0.0,0.833333,10,0,10,1,4,6,1,0,1,4,2019,USA,126878,0,1.7272727272727273,0.0,80,0,0,1,Undrafted,8
1627740,Henry Ellenson,BKN,6-10,240.0,3,327,81,2,749.0,116,47,0.371794,0.343065,0.774193,312,137,194,44,25,169,13,3,41,56,2016,USA,79568,0,4.037037037037037,0.024691358024691357,82,1,0,0,11-20,2
204025,Tim Frazier,DET,6-0,170.0,5,1365,272,81,4818.0,498,125,0.407862,0.328947,0.734939,1221,380,627,1092,134,493,188,24,360,483,2014,USA,1620564,0,5.018382352941177,0.2977941176470588,72,0,0,1,Undrafted,8
201145,Jeff Green,UTA,6-8,235.0,11,11553,890,544,26373.0,4193,905,0.43983999999999995,0.33321,0.8046949999999999,9533,2716,3956,1391,823,3133,641,476,1341,1955,2007,USA,2564753,0,12.980898876404494,0.6112359550561798,80,1,0,0,1-10,1
1628985,Devon Hall,OKC,6-2,215.0,0,5,5,0,20.0,1,0,0.2,0.0,0.75,5,2,1,3,0,1,0,0,1,1,2019,USA,79568,0,1.0,0.0,74,0,1,0,51-60,6
1628518,Amile Jefferson,ORL,6-9,222.0,1,42,30,0,143.0,15,0,0.5,0.0,0.545454,30,0,44,7,16,28,4,6,4,15,2017,USA,1339515,0,1.4,0.0,81,0,0,1,Undrafted,8
204020,Tyler Johnson,PHX,6-3,186.0,5,3146,301,71,7740.0,1136,371,0.42997700000000005,0.358108,0.7702899999999999,2642,1036,956,735,170,786,267,136,349,572,2014,USA,19245370,0,10.451827242524917,0.23588039867109634,75,0,0,1,Undrafted,8
1629742,Stanton Kidd,UTA,6-6,216.0,0,0,4,0,15.0,0,0,0.0,0.0,0.0,3,1,3,1,0,3,0,0,2,3,2019,USA,250000,0,0.0,0.0,78,0,0,1,Undrafted,8
1629133,Daryl Macon,MIA,6-2,185.0,1,32,12,0,104.0,11,6,0.366666,0.461538,0.5714279999999999,30,13,12,8,2,10,1,0,8,9,2018,USA,79568,0,2.6666666666666665,0.0,74,0,0,1,Undrafted,8
