,player_id,school,county,height,weight,seasons,jersey_number,from_year,to_year,draft_year,draft_round,draft_number
0,203500,New Zealand,New Zealand,6-11,265,6,12,2013,2019,2013,1,12
1,1628389,USA,USA,6-9,255,2,13,2017,2019,2017,1,14
2,200746,USA,USA,6-11,250,13,12,2006,2019,2006,1,2
3,1629734,Canada,Canada,6-10,216,0,17,2019,2019,Undrafted,Undrafted,Undrafted
4,1629638,Canada,Canada,6-5,205,0,0,2019,2019,2019,1,17
5,1628960,USA,USA,6-4,198,1,3,2018,2019,2018,1,21
6,1628386,USA,USA,6-11,243,2,31,2017,2019,2017,1,22
7,1628443,USA,USA,6-1,200,2,0,2017,2019,2017,2,53
8,202329,USA,USA,6-8,220,9,2,2010,2019,2010,1,8
9,1626147,USA,USA,,,4,,2015,2019,2015,1,21
10,203937,USA,USA,6-9,230,5,1,2014,2019,2014,1,30
11,201583,USA,USA,,,11,,2008,2019,2008,1,21
12,203507,Greece,Greece,6-11,242,6,34,2013,2019,2013,1,15
13,1628961,Greece,Greece,6-10,200,1,37,2018,2019,2018,2,60
14,203648,Greece,Greece,6-6,219,1,43,2015,2019,2014,2,51
15,2546,USA,USA,6-8,238,16,00,2003,2019,2003,1,3
16,1628384,United Kingdom,United Kingdom,6-7,232,2,3,2017,2019,2017,1,23
17,1627853,USA,USA,6-3,195,2,51,2017,2019,Undrafted,Undrafted,Undrafted
18,2772,USA,USA,6-8,215,15,8,2004,2019,2004,2,43
19,201571,USA,USA,5-11,183,11,14,2008,2019,2008,1,9
20,1629028,Bahamas,Bahamas,6-11,250,1,22,2018,2019,2018,1,1
21,1628407,USA,USA,6-6,221,2,7,2017,2019,2017,2,40
22,1628963,USA,USA,6-11,235,1,35,2018,2019,2018,1,2
23,1628366,USA,USA,6-6,190,2,2,2017,2019,2017,1,2
24,1628964,USA,USA,7-0,231,1,5,2018,2019,2018,1,6
25,200826,Puerto Rico,Puerto Rico,5-10,180,13,5,2006,2019,Undrafted,Undrafted,Undrafted
26,203084,USA,USA,6-8,225,7,40,2012,2019,2012,1,7
27,1629628,Canada,Canada,6-6,214,0,9,2019,2019,2019,1,3
28,203115,USA,USA,6-5,181,7,5,2012,2019,2012,2,40
29,1628966,USA,USA,6-8,229,1,31,2018,2019,2018,2,48
30,201587,France,France,6-9,230,11,5,2008,2019,2008,1,25
31,203382,Australia,Australia,6-10,260,7,46,2012,2019,Undrafted,Undrafted,Undrafted
32,203145,USA,USA,6-4,195,7,26,2012,2019,Undrafted,Undrafted,Undrafted
33,1629647,USA,USA,6-8,208,0,7,2019,2019,2019,1,23
34,203078,USA,USA,6-3,207,7,3,2012,2019,2012,1,3
35,1627736,USA,USA,6-4,187,3,5,2016,2019,2016,1,19
36,201158,Italy,Italy,6-5,220,12,18,2007,2019,2007,1,18
37,1628395,USA,USA,6-8,216,2,7,2017,2019,2017,2,38
38,1627761,USA,USA,6-5,210,3,95,2016,2019,2016,1,21
39,1627733,Croatia,Croatia,,,3,,2016,2019,2016,1,4
40,202722,Latvia,Latvia,6-10,225,3,42,2016,2019,2011,2,42
41,201976,USA,USA,6-1,180,7,21,2012,2019,2009,2,42
42,203920,Canada,Canada,6-9,233,2,24,2017,2019,Undrafted,Undrafted,Undrafted
43,1629048,Georgia,Georgia,6-11,250,0,88,2019,2019,2019,1,18
44,202687,Democratic Republic of the Congo,Democratic Republic of the Congo,6-8,255,8,8,2011,2019,2011,1,7
45,202357,Serbia,Serbia,6-10,234,4,88,2015,2019,2010,2,35
46,202339,USA,USA,6-1,214,9,6,2010,2019,2010,1,18
47,203992,Serbia,Serbia,6-6,220,2,8,2017,2019,2014,1,27
48,202711,Croatia,Croatia,6-8,226,5,44,2014,2019,2011,2,31
49,1629626,Sudan,Sudan,7-2,220,0,10,2019,2019,2019,2,44
50,1628413,Australia,Australia,6-8,225,1,43,2018,2019,2017,2,36
51,1629648,USA,USA,6-3,180,0,18,2019,2019,2019,2,57
52,1629067,Germany,Germany,6-8,180,1,17,2018,2019,2018,2,39
53,1626164,USA,USA,6-5,206,4,1,2015,2019,2015,1,13
54,1628449,Canada,Canada,6-9,200,2,25,2017,2019,Undrafted,Undrafted,Undrafted
55,1628968,USA,USA,6-6,190,0,10,2019,2019,Undrafted,Undrafted,Undrafted
56,1629065,USA,USA,6-1,187,0,12,2019,2019,Undrafted,Undrafted,Undrafted
57,202340,USA,USA,6-3,180,9,11,2010,2019,2010,1,19
58,1628396,USA,USA,6-10,248,2,13,2017,2019,2017,1,28
59,1629714,USA,USA,6-5,250,0,5,2019,2019,2019,2,50
60,1629649,Lithuania,Lithuania,6-6,221,0,17,2019,2019,2019,2,47
61,1628969,USA,USA,6-6,209,1,25,2018,2019,2018,1,10
62,1628970,USA,USA,6-6,225,1,0,2018,2019,2018,1,12
63,1629052,Canada,Canada,6-7,210,0,12,2019,2019,Undrafted,Undrafted,Undrafted
64,1629151,Australia,Australia,,,1,,2018,2019,Undrafted,Undrafted,Undrafted
65,1627763,USA,USA,6-5,229,3,7,2016,2019,2016,2,36
66,1628415,Canada,Canada,6-7,225,2,24,2017,2019,2017,2,45
67,1628971,USA,USA,6-4,202,1,6,2018,2019,2018,2,42
68,1627759,USA,USA,6-6,223,3,7,2016,2019,2016,1,3
69,1629650,USA,USA,7-2,245,0,4,2019,2019,Undrafted,Undrafted,Undrafted
70,1628425,USA,USA,6-5,219,2,23,2017,2019,2017,2,46
71,1629718,USA,USA,6-6,199,0,4,2019,2019,Undrafted,Undrafted,Undrafted
72,1628972,USA,USA,6-6,215,1,6,2018,2019,2018,1,15
73,1628973,USA,USA,6-1,190,1,13,2018,2019,2018,2,33
74,1628418,USA,USA,6-10,248,2,13,2017,2019,2017,2,42
75,203493,USA,USA,6-6,205,6,25,2013,2019,2013,1,25
76,203504,USA,USA,,,6,,2013,2019,2013,1,9
77,202692,USA,USA,6-6,214,8,20,2011,2019,2011,1,12
78,1629126,USA,USA,6-4,240,1,30,2018,2019,Undrafted,Undrafted,Undrafted
79,202710,USA,USA,6-7,230,8,22,2011,2019,2011,1,30
80,203998,Brazil,Brazil,6-9,218,5,5,2014,2019,2014,1,20
81,1629719,USA,USA,6-8,240,0,12,2019,2019,Undrafted,Undrafted,Undrafted
82,203484,USA,USA,6-5,204,6,1,2013,2019,2013,1,8
83,1628427,Slovenia,Slovenia,6-8,236,0,31,2019,2019,2017,2,49
84,203991,Switzerland,Switzerland,6-10,240,5,17,2014,2019,2014,1,25
85,201960,USA,USA,6-6,215,10,77,2009,2019,2009,1,27
86,1628975,USA,USA,6-1,200,1,4,2018,2019,2018,2,32
87,1713,USA,USA,6-6,220,21,15,1998,2019,1998,1,5
88,1628976,USA,USA,6-9,270,1,34,2018,2019,2018,1,7
89,203487,USA,USA,6-5,190,6,7,2013,2019,2013,1,11
90,1627936,USA,USA,6-5,186,2,4,2017,2019,Undrafted,Undrafted,Undrafted
91,1626161,USA,USA,7-0,240,4,33,2015,2019,2015,1,6
92,2199,USA,USA,7-0,235,18,19,2001,2019,2001,1,2
93,201163,USA,USA,6-8,235,12,21,2007,2019,2007,1,23
94,1629597,USA,USA,6-5,220,0,45,2019,2019,Undrafted,Undrafted,Undrafted
95,1629185,USA,USA,5-11,175,1,9,2018,2019,Undrafted,Undrafted,Undrafted
96,1627737,USA,USA,6-9,240,3,32,2016,2019,2016,1,8
97,1629109,USA,USA,6-6,225,1,12,2018,2019,Undrafted,Undrafted,Undrafted
98,1629634,Canada,Canada,6-8,215,0,15,2019,2019,2019,1,21
99,203903,USA,USA,6-4,194,5,00,2014,2019,2014,2,46
100,1629651,USA,USA,6-11,215,0,33,2019,2019,2019,2,31
101,1629598,USA,USA,5-9,180,0,3,2019,2019,Undrafted,Undrafted,Undrafted
102,1628499,USA,USA,6-5,195,1,3,2017,2019,Undrafted,Undrafted,Undrafted
103,1629599,USA,USA,6-7,210,0,7,2019,2019,Undrafted,Undrafted,Undrafted
104,1628381,USA,USA,6-9,235,2,20,2017,2019,2017,1,19
105,1628380,USA,USA,6-11,250,2,33,2017,2019,2017,1,10
106,201144,USA,USA,6-1,175,12,10,2007,2019,2007,1,4
107,1626192,USA,USA,6-5,209,4,24,2015,2019,2015,2,41
108,1626188,USA,USA,6-1,180,3,28,2016,2019,Undrafted,Undrafted,Undrafted
109,1629076,USA,USA,,,0,,2019,2019,Undrafted,Undrafted,Undrafted
110,202326,USA,USA,6-10,270,9,15,2010,2019,2010,1,5
111,203496,USA,USA,6-7,209,6,33,2013,2019,Undrafted,Undrafted,Undrafted
112,203459,USA,USA,6-5,212,6,9,2013,2019,2013,2,31
113,1628470,USA,USA,6-7,221,2,3,2017,2019,Undrafted,Undrafted,Undrafted
114,203109,USA,USA,6-6,235,7,99,2012,2019,2012,2,34
115,1629633,USA,USA,6-6,195,0,23,2019,2019,2019,1,6
116,203552,USA,USA,6-2,185,6,30,2013,2019,Undrafted,Undrafted,Undrafted
117,201939,USA,USA,6-3,185,10,30,2009,2019,2009,1,7
118,203584,USA,USA,6-4,200,6,30,2013,2019,Undrafted,Undrafted,Undrafted
119,203076,USA,USA,6-10,253,7,3,2012,2019,2012,1,1
120,202334,USA,USA,6-9,218,9,17,2010,2019,2010,1,13
121,1629056,USA,USA,6-4,201,0,0,2019,2019,Undrafted,Undrafted,Undrafted
122,201942,USA,USA,6-6,220,10,10,2009,2019,2009,1,9
123,203473,USA,USA,7-0,245,6,14,2013,2019,Undrafted,Undrafted,Undrafted
124,203521,Australia,Australia,6-3,200,6,18,2013,2019,Undrafted,Undrafted,Undrafted
125,1628978,USA,USA,6-4,203,1,0,2018,2019,2018,1,17
126,1627767,Mali,Mali,6-8,219,3,14,2016,2019,2016,2,33
127,1628977,USA,USA,6-5,202,1,6,2018,2019,2018,2,45
128,203476,Senegal,Senegal,6-10,252,6,5,2013,2019,2013,1,21
129,203915,USA,USA,6-5,215,5,26,2014,2019,2014,2,38
130,1629029,Slovenia,Slovenia,6-7,230,1,77,2018,2019,2018,1,3
131,1629652,Canada,Canada,6-3,215,0,5,2019,2019,Undrafted,Undrafted,Undrafted
132,1628422,USA,USA,6-5,210,2,21,2017,2019,2017,2,44
133,1629635,Guinea,Guinea,6-8,230,0,45,2019,2019,2019,1,15
