player_name,19_20_salary,20_21_salary
Stephen Curry,"$40,231,758","$43,006,362"
Russell Westbrook,"$38,506,482","$41,358,814"
Chris Paul,"$38,506,482","$41,358,814"
James Harden,"$38,199,000","$41,254,920"
John Wall,"$38,199,000","$41,254,920"
LeBron James,"$37,436,858","$39,219,566"
Kevin Durant,"$37,199,000","$39,058,950"
Blake Griffin,"$34,449,964","$36,810,996"
Kyle Lowry,"$33,296,296","$30,500,000"
Paul George,"$33,005,556","$35,450,412"
Klay Thompson,"$32,742,000","$35,361,360"
Kemba Walker,"$32,742,000","$34,379,100"
Kawhi Leonard,"$32,742,000","$34,379,100"
Jimmy Butler,"$32,742,000","$34,379,100"
Tobias Harris,"$32,742,000","$34,358,850"
Gordon Hayward,"$32,700,690","$34,187,085"
Mike Conley,"$32,511,623","$34,502,130"
Kyrie Irving,"$31,742,000","$33,329,100"
Khris Middleton,"$30,603,448","$33,051,724"
Paul Millsap,"$30,000,000",$0
Damian Lillard,"$29,802,321","$31,626,953"
Kevin Love,"$28,942,830","$31,258,256"
Al Horford,"$28,000,000","$27,500,000"
Nikola Vucevic,"$28,000,000","$26,000,000"
DeMar DeRozan,"$27,739,975","$27,739,975"
CJ McCollum,"$27,556,959","$29,354,152"
Nikola Jokic,"$27,504,630","$29,542,010"
Andrew Wiggins,"$27,504,630","$29,542,010"
Joel Embiid,"$27,504,630","$29,542,010"
Kristaps Porzingis,"$27,285,000","$29,467,800"
Karl-Anthony Towns,"$27,285,000","$29,467,800"
Devin Booker,"$27,285,000","$29,430,000"
D'Angelo Russell,"$27,285,000","$28,649,250"
Otto Porter,"$27,250,576","$28,489,239"
Anthony Davis,"$27,093,019","$28,751,775"
Andre Drummond,"$27,093,018","$28,751,774"
Bradley Beal,"$27,093,018","$28,751,774"
Hassan Whiteside,"$27,093,018",$0
Jrue Holiday,"$26,131,111","$26,131,111"
LaMarcus Aldridge,"$26,000,000","$24,000,000"
Giannis Antetokounmpo,"$25,842,697","$27,528,088"
Steven Adams,"$25,842,697","$27,528,088"
Marc Gasol,"$25,595,700",$0
Nicolas Batum,"$25,565,217","$27,130,434"
Rudy Gobert,"$25,258,427","$25,775,281"
Chandler Parsons,"$25,102,512",$0
Harrison Barnes,"$24,147,727","$22,215,909"
Serge Ibaka,"$23,271,604",$0
Danilo Gallinari,"$22,615,559",$0
Victor Oladipo,"$21,000,000","$21,000,000"
Tim Hardaway Jr,"$20,025,127","$18,975,000"
Malcolm Brogdon,"$20,000,000","$20,700,000"
Terry Rozier,"$19,894,737","$18,900,000"
Aaron Gordon,"$19,863,636","$18,136,364"
Zach LaVine,"$19,500,000","$19,500,000"
Kent Bazemore,"$19,269,663",$0
Tyler Johnson,"$19,245,370",$0
Goran Dragic,"$19,217,900",$0
Jeff Teague,"$19,000,000",$0
Evan Turner,"$18,606,556",$0
Draymond Green,"$18,539,130","$22,246,956"
Tristan Thompson,"$18,539,130",$0
Allen Crabbe,"$18,500,000",$0
Reggie Jackson,"$18,086,956",$0
Julius Randle,"$18,000,000","$18,900,000"
Myles Turner,"$18,000,000","$18,000,000"
Gary Harris,"$17,839,286","$19,160,714"
Derrick Favors,"$17,650,000",$0
Andre Iguodala,"$17,185,185",
Bojan Bogdanovic,"$17,000,000","$17,850,000"
Evan Fournier,"$17,000,000","$17,150,000"
