19_20_salary_x,predicted,residuals,player_id,player_name,team,height,weight,seasons,points,games,games_started,minutes_played,field_goals_made,3_pntrs_made,field_goals_pct_made,3_pntrs_pct_made,ft_pct,field_goals_assisted,3_pntrs_assists,rebounds,assists_to_turnovers,offensive_rebounds,defensive_rebounds,steals,blocks,turnovers,personal_fouls,start_year,19_20_salary_y,future_salary,avg_pnts_per_game,pct_of_games_started,heights_inches,draft_1st_pick,draft_2nd_pick,draft_undrafted,draft_number_group,draft_nmbr_grp_rank,cluster
3755400,5049243.069882739,1293843.0698827393,1628970,Miles Bridges,CHA,6-6,225.0,1,1424,144,88,3657.0,551,163,0.4415060000000001,0.328629,0.7871279999999999,1248,496,677,207,153,524,95,96,144,242,2018,3755400,1,9.888888888888893,0.6111111111111112,78,1,0,0,11-20,2,6
2689920,1448467.3658209024,1241452.6341790976,1629677,Luka Samanic,SAS,6-10,227.0,0,0,1,0,12.0,0,0,0.0,0.0,0.0,4,2,2,3,0,2,0,0,0,0,2019,2689920,1,0.0,0.0,82,1,0,0,11-20,2,9
3709887,11350467.02929408,7640580.029294079,202693,Markieff Morris,LAL,6-8,245.0,8,7250,630,347,16131.0,2797,522,0.448596,0.344554,0.778311,6235,1515,3378,1053,796,2582,546,346,1010,1812,2011,3709887,0,11.507936507936508,0.5507936507936508,80,1,0,0,11-20,2,1
27285000,14842621.774798004,12442378.225201996,1626156,D'Angelo Russell,MIN,6-4,193.0,4,5504,316,268,9170.0,2032,742,0.419574,0.355704,0.772123,4843,2086,1170,1661,178,992,360,79,913,590,2015,27285000,1,17.417721518987342,0.8481012658227848,76,1,0,0,1-10,1,5
9258000,4086455.7348973206,5171544.265102679,1626145,Tyus Jones,MEM,6-0,196.0,4,1724,311,40,5586.0,661,173,0.431462,0.34530900000000003,0.803508,1532,501,483,1107,65,418,313,25,231,313,2015,9258000,1,5.543408360128617,0.12861736334405144,72,1,0,0,21-30,3,6
79568,1234981.761797686,1155413.761797686,1629683,Quinndary Weatherspoon,SAS,6-3,205.0,0,0,3,0,15.0,0,0,0.0,0.0,0.0,3,1,1,1,0,1,0,0,0,0,2019,79568,0,0.0,0.0,75,0,1,0,41-50,5,9
1416852,1648147.9662633575,231295.96626335755,1629020,Jarred Vanderbilt,MIN,6-9,214.0,1,36,28,0,116.0,14,0,0.518518,0.0,0.666666,27,2,32,5,10,22,9,2,15,14,2018,1416852,1,1.2857142857142858,0.0,81,0,1,0,41-50,5,18
2429400,2259916.3724662643,169483.6275337357,1628960,Grayson Allen,MEM,6-4,198.0,1,432,68,2,914.0,146,65,0.412429,0.342105,0.789473,354,190,89,68,8,81,12,7,56,83,2018,2429400,1,6.352941176470589,0.029411764705882363,76,1,0,0,21-30,3,2
19500000,14501951.78202058,4998048.21797942,203897,Zach LaVine,CHI,6-6,200.0,5,6240,353,266,10857.0,2250,646,0.446871,0.375363,0.818862,5035,1721,1279,1275,163,1116,336,95,897,781,2014,19500000,1,17.677053824362606,0.7535410764872521,78,1,0,0,11-20,2,5
17818456,5663355.293848777,12155100.706151223,203459,Allen Crabbe,MIN,6-0,170.0,6,3453,381,113,9125.0,1226,617,0.424515,0.386591,0.831168,2888,1596,1073,434,109,964,223,104,285,764,2013,17818456,0,9.062992125984252,0.2965879265091864,72,0,1,0,31-40,4,4
79568,1187065.5912959166,1107497.5912959166,1629760,Matt Mooney,CLE,6-2,199.0,0,2,3,0,6.0,1,0,0.5,0.0,0.0,2,1,1,1,0,1,1,1,0,1,2019,79568,0,0.6666666666666666,0.0,74,0,0,1,Undrafted,8,8
2564753,14015202.742030129,11450449.742030129,201163,Wilson Chandler,BKN,6-8,235.0,12,8458,675,482,20259.0,3269,873,0.442953,0.34128200000000003,0.7692869999999999,7380,2558,3569,1202,766,2803,470,414,929,1804,2007,2564753,0,12.530370370370367,0.7140740740740741,80,1,0,0,21-30,3,1
3567720,2107079.823402961,1460640.1765970392,1629010,Jerome Robinson,WAS,6-4,190.0,1,313,87,3,1054.0,119,49,0.367283,0.308176,0.68421,324,159,146,83,11,135,33,16,47,128,2018,3567720,1,3.5977011494252875,0.03448275862068965,76,1,0,0,11-20,2,2
26000000,25948216.40084649,51783.599153511226,200746,LaMarcus Aldridge,SAS,6-11,250.0,13,19575,1002,961,34481.0,7909,181,0.491394,0.312068,0.810884,16095,580,8358,1983,2684,5674,730,1107,1571,2472,2006,26000000,1,19.535928143712574,0.9590818363273452,83,1,0,0,1-10,1,3
32742000,26103824.61487528,6638175.385124721,202689,Kemba Walker,BOS,6-0,184.0,8,13058,654,609,22168.0,4511,1446,0.418382,0.35979,0.8376450000000001,10782,4019,2518,3553,382,2136,846,258,1422,988,2011,32742000,1,19.966360856269112,0.9311926605504588,72,1,0,0,1-10,1,11
91557,3113062.3846371095,3021505.3846371095,1626147,Justin Anderson,BKN,6-6,230.0,4,1157,219,23,2874.0,409,138,0.417773,0.3,0.776061,979,460,556,143,136,420,97,69,129,258,2015,91557,0,5.28310502283105,0.1050228310502283,78,1,0,0,21-30,3,2
17000000,13602012.760686636,3397987.239313364,202711,Bojan Bogdanovic,UTA,6-8,226.0,5,6570,462,345,13172.0,2305,872,0.460263,0.393679,0.858044,5008,2215,1607,689,225,1382,255,37,723,746,2014,17000000,1,14.220779220779221,0.7467532467532467,80,0,1,0,31-40,4,15
11301219,14165486.162340418,2864267.1623404175,203496,Robert Covington,HOU,6-7,209.0,6,4939,387,339,11571.0,1648,913,0.406813,0.358601,0.812013,4051,2546,2192,579,359,1833,636,337,667,1182,2013,11301219,1,12.762273901808785,0.875968992248062,79,0,0,1,Undrafted,8,14
8730240,7453625.331106132,1276614.668893868,1629630,Ja Morant,MEM,6-3,174.0,0,1020,58,58,1736.0,386,50,0.492346,0.373134,0.770428,784,134,204,404,43,161,53,15,186,86,2019,8730240,1,17.586206896551722,1.0,75,1,0,0,1-10,1,6
7068360,4623514.266705878,2444845.733294122,1629631,De'Andre Hunter,ATL,6-7,225.0,0,763,62,61,1982.0,275,105,0.409836,0.35117,0.760563,671,299,280,111,42,238,44,18,102,180,2019,7068360,1,12.306451612903226,0.9838709677419356,79,1,0,0,1-10,1,6
2750000,2805644.68964289,55644.68964288989,1627936,Alex Caruso,LAL,6-5,186.0,2,676,119,12,2111.0,236,74,0.4330270000000001,0.373737,0.764705,545,198,242,253,48,194,106,36,128,191,2017,2750000,1,5.680672268907562,0.10084033613445376,77,0,0,1,Undrafted,8,16
14057730,17899666.478941426,3841936.4789414257,201569,Eric Gordon,HOU,6-3,215.0,11,10975,662,509,21727.0,3728,1547,0.425182,0.370361,0.810855,8768,4177,1632,1893,274,1358,598,226,1305,1311,2008,14057730,1,16.578549848942593,0.7688821752265861,75,1,0,0,1-10,1,11
1416852,2144222.8700348157,727370.8700348157,1629067,Isaac Bonga,WAS,6-8,180.0,1,285,80,41,1146.0,101,22,0.465437,0.349206,0.772151,217,63,208,76,70,138,46,25,47,145,2018,1416852,1,3.5625,0.5125,80,0,1,0,31-40,4,10
32511623,24432029.135031447,8079593.864968553,201144,Mike Conley,UTA,6-1,175.0,12,12300,829,793,26870.0,4379,1166,0.439217,0.375281,0.8179,9970,3107,2460,4687,367,2093,1192,166,1662,1640,2007,32511623,1,14.837153196622436,0.9565741857659832,73,1,0,0,1-10,1,11
4767000,4818057.762792977,51057.76279297657,203118,Mike Scott,PHI,6-7,237.0,7,3469,498,21,8224.0,1337,434,0.457563,0.362876,0.761603,2922,1196,1579,448,357,1222,156,60,336,737,2012,4767000,1,6.9658634538152615,0.04216867469879519,79,0,1,0,41-50,5,4
6392760,10685974.530072888,4293214.530072888,1628368,De'Aaron Fox,SAC,6-3,185.0,2,3163,199,185,5998.0,1162,180,0.448475,0.334572,0.7178640000000001,2591,538,689,1214,106,583,267,88,541,496,2017,6392760,1,15.894472361809044,0.9296482412060302,75,1,0,0,1-10,1,6
1620564,2749155.342655598,1128591.3426555982,1628395,Jordan Bell,MIN,7-1,249.0,2,578,154,16,1854.0,250,4,0.563063,0.222222,0.637931,444,18,472,194,145,327,58,117,114,191,2017,1620564,0,3.7532467532467533,0.1038961038961039,85,0,1,0,31-40,4,18
9073050,6444358.13478553,2628691.86521447,203937,Kyle Anderson,MEM,6-9,230.0,5,1933,358,159,6997.0,781,74,0.492433,0.307053,0.697183,1586,241,1424,702,249,1175,341,189,315,497,2014,9073050,1,5.399441340782123,0.4441340782122905,81,1,0,0,21-30,3,5
12345680,11424776.327408407,920903.6725915931,201976,Patrick Beverley,LAC,6-1,180.0,7,3803,427,347,12038.0,1344,684,0.413538,0.378527,0.761484,3250,1807,1874,1489,500,1374,505,191,556,1342,2012,12345680,1,8.906323185011711,0.8126463700234192,73,0,1,0,41-50,5,15
79568,1225356.2229600707,1145788.2229600707,1629682,Tremont Waters,BOS,5-10,175.0,0,33,10,0,89.0,12,3,0.342857,0.17647000000000002,1.0,35,17,9,12,0,9,5,2,10,11,2019,79568,0,3.3,0.0,70,0,1,0,51-60,6,10
17185185,16945148.628743555,240036.3712564446,2738,Andre Iguodala,MIA,6-6,215.0,15,13514,1121,779,37276.0,4866,997,0.465735,0.333556,0.7093729999999999,10448,2989,5681,4844,1049,4632,1670,567,2126,2036,2004,17185185,1,12.055307760927743,0.6949152542372882,78,1,0,0,1-10,1,13
8000000,12393910.733463105,4393910.733463105,203901,Elfrid Payton,NYK,6-3,195.0,5,4233,385,329,11297.0,1745,158,0.452658,0.289377,0.625668,3855,546,1696,2549,438,1258,511,135,928,841,2014,8000000,1,10.994805194805195,0.8545454545454545,75,1,0,0,1-10,1,5
27093018,20761094.75153271,6331923.248467289,203083,Andre Drummond,CLE,6-10,279.0,7,8650,598,547,18554.0,3653,15,0.541506,0.14563099999999998,0.460658,6746,103,8281,776,2856,5425,833,937,1166,1902,2012,27093018,1,14.464882943143813,0.9147157190635452,82,1,0,0,1-10,1,7
2478840,4104962.24459808,1626122.24459808,1629634,Brandon Clarke,MEM,6-8,215.0,0,602,50,3,1086.0,254,21,0.622549,0.403846,0.784946,408,52,292,72,78,214,26,42,46,82,2019,2478840,1,12.04,0.06,80,1,0,0,21-30,3,2
9757440,10841320.92937661,1083880.9293766096,1629627,Zion Williamson,NOP,6-6,284.0,0,448,19,19,565.0,172,6,0.589041,0.461538,0.644736,292,13,129,41,55,74,16,9,51,32,2019,9757440,1,23.578947368421048,1.0,78,1,0,0,1-10,1,17
898310,1825664.9936549356,927354.9936549356,1629655,Daniel Gafford,CHI,6-10,234.0,0,215,42,7,588.0,92,0,0.696969,0.0,0.525423,132,0,102,20,50,52,13,53,27,97,2019,898310,1,5.11904761904762,0.16666666666666666,82,0,1,0,31-40,4,18
6767000,14627496.056014186,7860496.056014186,202340,Avery Bradley,LAL,6-3,180.0,9,6702,570,492,16113.0,2698,742,0.436287,0.364798,0.7800819999999999,6184,2034,1668,1010,358,1310,581,116,802,1251,2010,6767000,1,11.757894736842106,0.8631578947368421,75,1,0,0,11-20,2,1
79568,1243391.0966601856,1163823.0966601856,1629724,Vic Law,ORL,6-7,201.0,0,0,5,0,9.0,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,0,0,0,2019,79568,0,0.0,0.0,79,0,0,1,Undrafted,8,8
79568,1144092.9701566128,1064524.9701566128,1629621,Marial Shayok,PHI,6-5,198.0,0,3,2,0,10.0,1,1,0.2,0.333333,0.0,5,3,3,1,0,3,0,0,1,0,2019,79568,0,1.5,0.0,77,0,1,0,51-60,6,9
1977000,1450498.9045631709,526501.0954368291,1629662,Mfiondu Kabengele,LAC,6-9,250.0,0,42,12,0,64.0,14,9,0.4375,0.45,1.0,32,20,11,2,1,10,2,2,2,9,2019,1977000,1,3.5,0.0,81,1,0,0,21-30,3,2
1588231,2309743.7790807467,721512.7790807467,1628449,Chris Boucher,TOR,6-9,200.0,2,441,84,0,888.0,153,40,0.454005,0.29197,0.805084,337,137,299,25,110,189,26,77,30,135,2017,1588231,0,5.25,0.0,81,0,0,1,Undrafted,8,16
38199000,22736006.485198595,15462993.514801405,202322,John Wall,WAS,6-4,210.0,9,10879,573,561,20544.0,3942,539,0.432853,0.324113,0.78117,9107,1663,2483,5282,330,2153,976,396,2191,1289,2010,38199000,1,18.98603839441536,0.9790575916230366,76,1,0,0,1-10,1,11
1934160,4875296.922351832,2941136.9223518316,1628404,Josh Hart,NOP,6-5,215.0,2,1600,187,59,4739.0,565,281,0.42803,0.353015,0.7132069999999999,1320,796,881,267,131,750,170,77,170,398,2017,1934160,1,8.556149732620321,0.3155080213903743,77,1,0,0,21-30,3,6
578573,1437438.6501160841,858865.6501160841,1629730,Rayjon Tucker,UTA,6-3,209.0,0,19,14,0,78.0,8,0,0.421052,0.0,0.6,19,6,13,2,2,11,1,0,3,7,2019,578573,1,1.3571428571428572,0.0,75,0,0,1,Undrafted,8,0
5500000,5705129.036733966,205129.03673396632,1626168,Trey Lyles,SAS,6-9,234.0,4,2588,350,93,6290.0,975,309,0.4325640000000001,0.339187,0.707526,2254,911,1477,373,276,1201,139,122,296,511,2015,5500000,1,7.394285714285713,0.2657142857142857,81,1,0,0,11-20,2,17
79568,1331939.713569913,1252371.713569913,1628961,Kostas Antetokounmpo,LAL,6-10,200.0,1,2,5,0,16.0,0,0,0.0,0.0,0.5,3,0,2,1,0,2,2,0,1,0,2018,79568,0,0.4,0.0,82,0,1,0,51-60,6,9
6481482,5080080.70878525,1401401.2912147501,1627826,Ivica Zubac,LAC,7-0,240.0,3,1477,203,109,3194.0,600,0,0.559179,0.0,0.758904,1073,6,1093,187,362,731,49,158,177,396,2016,6481482,1,7.275862068965517,0.5369458128078818,84,0,1,0,31-40,4,18
3000000,3033895.9714284632,33895.971428463235,1627853,Ryan Arcidiacono,CHI,6-3,195.0,2,853,163,36,3195.0,294,144,0.432989,0.373056,0.828767,679,386,354,400,48,306,105,7,113,285,2017,3000000,1,5.2331288343558295,0.22085889570552147,75,0,0,1,Undrafted,8,16
12553571,8356852.320360143,4196718.679639857,203935,Marcus Smart,BOS,6-3,220.0,5,3872,393,181,11373.0,1290,573,0.373371,0.31798000000000004,0.7731180000000001,3455,1802,1403,1589,355,1048,615,148,669,1026,2014,12553571,1,9.85241730279898,0.460559796437659,75,1,0,0,1-10,1,5
16229213,8392257.93792019,7836955.06207981,203476,Gorgui Dieng,MEM,6-10,252.0,6,4017,509,204,11245.0,1543,112,0.500324,0.341463,0.785234,3084,328,3142,697,945,2197,423,501,598,1161,2013,16229213,1,7.8919449901768175,0.4007858546168959,82,1,0,0,21-30,3,19
15643750,13087952.730226297,2555797.269773703,202688,Brandon Knight,DET,6-2,182.0,7,6263,445,348,13105.0,2249,710,0.4113770000000001,0.35393800000000003,0.806574,5467,2006,1372,1763,235,1137,385,75,1083,880,2011,15643750,0,14.074157303370786,0.7820224719101123,74,1,0,0,1-10,1,5
4102564,2244863.924267173,1857700.0757328272,1629740,Nicolo Melli,NOP,6-9,236.0,0,355,52,6,889.0,123,65,0.442446,0.361111,0.733333,278,180,157,67,37,120,30,19,42,105,2019,4102564,1,6.8269230769230775,0.1153846153846154,81,0,0,1,Undrafted,8,0
2530680,4118664.3531370023,1587984.3531370023,1629006,Josh Okogie,MIN,6-4,213.0,1,1096,135,79,3269.0,364,101,0.403995,0.273712,0.765042,901,369,482,187,127,355,156,59,149,304,2018,2530680,1,8.118518518518519,0.5851851851851851,76,1,0,0,11-20,2,6
898310,1555016.9843488056,656706.9843488056,1629713,Justin James,SAC,6-7,190.0,0,85,34,0,218.0,33,9,0.423076,0.34615300000000004,0.47619,78,26,30,16,6,24,6,9,8,16,2019,898310,1,2.5,0.0,79,0,1,0,31-40,4,10
79568,1152039.384798943,1072471.384798943,1629745,Tariq Owens,PHX,6-10,205.0,0,4,3,0,15.0,1,0,0.2,0.0,1.0,5,2,3,0,2,1,1,0,0,1,2019,79568,0,1.3333333333333333,0.0,82,0,0,1,Undrafted,8,0
2475840,3785595.1140597723,1309755.1140597723,1628390,Terrance Ferguson,OKC,6-6,190.0,2,911,185,123,3864.0,329,192,0.411764,0.339823,0.7625,799,565,261,136,75,186,90,42,88,458,2017,2475840,1,4.924324324324324,0.6648648648648648,78,1,0,0,21-30,3,6
4764960,10431118.22734493,5666158.22734493,1629012,Collin Sexton,CLE,6-1,190.0,1,2694,146,136,4711.0,1020,216,0.448154,0.392014,0.8423069999999999,2276,551,437,430,118,319,108,13,338,327,2018,4764960,1,18.45205479452055,0.9315068493150684,73,1,0,0,1-10,1,6
1416852,1880447.595282523,463595.59528252296,1628392,Isaiah Hartenstein,HOU,7-0,250.0,1,160,51,2,487.0,64,2,0.592592,0.181818,0.7142850000000001,108,11,137,33,50,87,16,24,29,97,2018,1416852,1,3.1372549019607843,0.0392156862745098,84,0,1,0,41-50,5,18
10500000,7640502.648079935,2859497.3519200645,203087,Jeremy Lamb,IND,6-5,180.0,7,5032,481,128,10196.0,1874,494,0.444286,0.339052,0.8512930000000001,4218,1457,1788,770,252,1536,352,173,407,793,2012,10500000,1,10.461538461538463,0.2661122661122661,77,1,0,0,11-20,2,5
13437500,9366408.431318205,4071091.568681795,203903,Jordan Clarkson,UTA,6-4,194.0,5,6573,445,138,12053.0,2528,652,0.447275,0.340825,0.818353,5652,1913,1404,1152,384,1020,385,61,739,738,2014,13437500,0,14.770786516853931,0.3101123595505618,76,0,1,0,41-50,5,15
2376840,7754152.917596743,5377312.917596743,1628386,Jarrett Allen,BKN,6-11,243.0,2,2138,215,169,5164.0,835,11,0.606831,0.16923,0.6945279999999999,1376,65,1658,244,526,1132,106,292,257,473,2017,2376840,1,9.944186046511627,0.7860465116279071,83,1,0,0,21-30,3,17
1588231,3945441.413999726,2357210.413999726,1628420,Monte Morris,DEN,6-2,183.0,2,1407,149,14,3380.0,571,147,0.48145,0.398373,0.813793,1186,369,308,533,55,253,128,20,98,167,2017,1588231,1,9.442953020134226,0.09395973154362416,74,0,1,0,51-60,6,10
2193480,1597662.189040307,595817.810959693,1629660,Ty Jerome,PHX,6-5,195.0,0,98,27,0,300.0,37,13,0.359223,0.28888800000000003,0.785714,103,45,40,42,6,34,14,3,18,27,2019,2193480,1,3.6296296296296298,0.0,77,1,0,0,21-30,3,2
25595700,20450029.23465671,5145670.76534329,201188,Marc Gasol,TOR,6-11,255.0,11,12196,831,816,27556.0,4527,375,0.481544,0.355787,0.77681,9401,1054,6342,2864,1371,4971,760,1191,1686,2413,2008,25595700,0,14.676293622141998,0.9819494584837544,83,0,1,0,41-50,5,13
4767000,6394416.275696918,1627416.2756969184,202066,Garrett Temple,BKN,6-5,195.0,9,3582,569,242,11976.0,1277,550,0.403093,0.34678400000000004,0.733128,3168,1586,1289,975,227,1062,481,178,535,1078,2009,4767000,1,6.295254833040421,0.4253075571177504,77,0,0,1,Undrafted,8,14
1995120,3669541.1847508494,1674421.1847508494,1629013,Landry Shamet,LAC,6-4,190.0,1,1166,125,54,3069.0,384,271,0.427616,0.41248,0.841059,898,657,223,199,27,196,55,19,80,282,2018,1995120,1,9.328,0.4320000000000001,76,1,0,0,21-30,3,6
5697600,3059286.2391708083,2638313.7608291917,1628964,Mo Bamba,ORL,7-0,231.0,1,619,106,1,1621.0,247,57,0.474088,0.331395,0.629629,521,172,525,79,159,366,33,149,85,216,2018,5697600,1,5.839622641509434,0.009433962264150943,84,1,0,0,1-10,1,2
1737145,3102611.482448528,1365466.482448528,203526,Raul Neto,PHI,6-1,180.0,4,1167,248,57,3381.0,443,141,0.444779,0.380053,0.786516,996,371,313,453,45,268,132,20,237,300,2015,1737145,0,4.705645161290323,0.2298387096774193,73,0,1,0,41-50,5,10
19269663,8450707.35679721,10818955.64320279,203145,Kent Bazemore,SAC,6-4,195.0,7,4761,547,278,11584.0,1693,584,0.413128,0.350329,0.725688,4098,1667,1757,1004,195,1562,560,266,796,1096,2012,19269663,0,8.703839122486288,0.5082266910420475,76,0,0,1,Undrafted,8,14
7059480,5735643.22122532,1323836.7787746796,1628367,Josh Jackson,MEM,6-8,207.0,2,2095,173,64,4284.0,798,151,0.415625,0.295499,0.652908,1920,511,755,329,172,583,171,100,340,461,2017,7059480,0,12.109826589595375,0.3699421965317919,80,1,0,0,1-10,1,6
1845301,2342996.0869226567,497695.08692265674,203998,Bruno Caboclo,TOR,6-9,218.0,5,407,96,20,1232.0,148,60,0.396782,0.314136,0.836065,373,191,247,71,78,169,33,56,61,123,2014,1845301,0,4.239583333333333,0.2083333333333333,81,1,0,0,11-20,2,2
